order_id,customer_id,product_id,order_date,quantity,order_value
50001,1001,110,2025-01-01,1,1199.0
50002,1002,109,2025-01-11,1,2199.0
50003,1002,108,2026-01-16,1,1999.0
50004,1002,110,2026-04-27,1,1199.0
50005,1003,108,2025-01-06,1,1999.0
50006,1003,106,2025-02-16,2,11998.0
50007,1004,108,2025-01-21,1,1999.0
50008,1004,111,2025-04-10,2,6998.0
50009,1004,115,2026-01-02,2,4998.0
50010,1004,118,2026-01-15,2,1998.0
50011,1004,115,2026-02-12,2,4998.0
50012,1005,110,2025-01-04,1,1199.0
50013,1005,118,2025-03-01,2,1998.0
50014,1005,117,2026-03-02,1,899.0
50015,1006,114,2025-01-09,1,1999.0
50016,1006,113,2025-07-25,4,5996.0
50017,1007,103,2025-01-03,1,1899.0
50018,1008,104,2025-01-23,2,2598.0
50019,1008,113,2026-01-28,2,2998.0
50020,1009,105,2025-01-08,1,999.0
50021,1009,118,2025-07-23,1,999.0
50022,1010,111,2025-01-10,1,3499.0
50023,1010,108,2025-05-05,2,3998.0
50024,1011,110,2025-01-28,2,2398.0
50025,1011,110,2025-02-10,1,1199.0
50026,1011,108,2025-04-02,2,3998.0
50027,1011,118,2025-08-29,1,999.0
50028,1012,118,2025-01-17,1,999.0
50029,1012,112,2025-02-28,3,8697.0
50030,1012,108,2025-09-09,2,3998.0
50031,1013,103,2025-01-08,1,1899.0
50032,1013,107,2025-02-16,1,1799.0
50033,1013,109,2025-04-07,2,4398.0
50034,1013,105,2025-10-01,1,999.0
50035,1014,115,2025-01-12,1,2499.0
50036,1014,111,2025-02-02,3,10497.0
50037,1015,113,2025-01-14,1,1499.0
50038,1015,109,2025-02-01,1,2199.0
50039,1015,114,2025-02-19,1,1999.0
50040,1015,111,2025-04-23,1,3499.0
50041,1015,107,2025-06-29,1,1799.0
50042,1015,102,2025-11-04,2,4998.0
50043,1015,103,2026-01-23,1,1899.0
50044,1016,104,2025-01-29,2,2598.0
50045,1016,116,2025-02-22,1,1299.0
50046,1016,112,2025-03-14,1,2899.0
50047,1017,115,2025-01-10,1,2499.0
50048,1017,105,2025-10-03,2,1998.0
50049,1017,109,2025-10-30,1,2199.0
50050,1018,111,2025-01-17,1,3499.0
50051,1018,112,2025-06-27,1,2899.0
50052,1018,102,2025-08-10,1,2499.0
50053,1018,110,2026-03-05,1,1199.0
50054,1019,106,2025-02-01,1,5999.0
50055,1020,104,2025-01-18,1,1299.0
50056,1020,109,2025-04-30,1,2199.0
50057,1021,111,2025-01-24,1,3499.0
50058,1021,106,2025-02-09,1,5999.0
50059,1021,114,2025-04-28,1,1999.0
50060,1022,107,2025-01-31,1,1799.0
50061,1022,101,2025-02-27,3,14997.0
50062,1022,103,2025-05-21,2,3798.0
50063,1023,116,2025-01-08,1,1299.0
50064,1023,114,2025-02-15,1,1999.0
50065,1023,103,2026-01-03,3,5697.0
50066,1024,102,2025-01-23,1,2499.0
50067,1024,102,2026-04-12,3,7497.0
50068,1025,109,2025-01-12,1,2199.0
50069,1025,118,2025-04-29,1,999.0
50070,1026,114,2025-01-11,1,1999.0
50071,1026,107,2025-02-21,1,1799.0
50072,1026,118,2025-12-30,1,999.0
50073,1027,101,2025-01-10,1,4999.0
50074,1027,103,2025-03-13,2,3798.0
50075,1028,114,2025-01-29,1,1999.0
50076,1029,110,2025-01-12,1,1199.0
50077,1029,102,2025-12-04,2,4998.0
50078,1029,104,2026-02-02,1,1299.0
50079,1030,114,2025-01-24,1,1999.0
50080,1030,113,2025-03-02,1,1499.0
50081,1030,107,2025-07-27,1,1799.0
50082,1031,107,2025-01-30,1,1799.0
50083,1031,113,2025-08-09,2,2998.0
50084,1032,101,2025-01-22,2,9998.0
50085,1033,104,2025-01-25,1,1299.0
50086,1033,102,2025-02-11,1,2499.0
50087,1033,107,2025-02-20,1,1799.0
50088,1033,109,2025-03-30,1,2199.0
50089,1033,101,2025-09-23,2,9998.0
50090,1034,112,2025-01-16,1,2899.0
50091,1035,107,2025-01-30,1,1799.0
50092,1035,115,2026-02-21,3,7497.0
50093,1036,108,2025-01-23,2,3998.0
50094,1037,103,2025-01-26,1,1899.0
50095,1037,101,2025-02-23,1,4999.0
50096,1037,102,2025-04-02,2,4998.0
50097,1037,114,2025-07-27,1,1999.0
50098,1037,112,2026-01-22,2,5798.0
50099,1037,117,2026-03-24,1,899.0
50100,1038,106,2025-01-27,1,5999.0
50101,1038,105,2025-03-30,2,1998.0
50102,1038,118,2025-12-06,3,2997.0
50103,1039,108,2025-01-12,1,1999.0
50104,1039,102,2025-02-26,2,4998.0
50105,1039,110,2025-06-28,2,2398.0
50106,1039,103,2025-09-20,1,1899.0
50107,1040,110,2025-01-04,1,1199.0
50108,1040,115,2025-02-08,1,2499.0
50109,1040,105,2025-05-22,1,999.0
50110,1041,114,2025-02-02,1,1999.0
50111,1041,114,2025-06-07,1,1999.0
50112,1041,106,2026-04-08,2,11998.0
50113,1041,107,2026-04-26,2,3598.0
50114,1042,107,2025-01-26,2,3598.0
50115,1042,113,2025-02-12,3,4497.0
50116,1042,105,2025-03-24,3,2997.0
50117,1043,110,2025-01-21,1,1199.0
50118,1043,117,2025-09-09,1,899.0
50119,1044,110,2025-01-31,2,2398.0
50120,1044,110,2025-02-17,1,1199.0
50121,1044,103,2025-02-17,1,1899.0
50122,1044,108,2025-03-12,1,1999.0
50123,1045,112,2025-01-11,2,5798.0
